ticker,name,market,locale,currency,active,primaryExch,updated,codes,url,type
ABLZF,Abb Ltd Reg Ordinary Shares,STOCKS,US,USD,True,OTC,2020-06-23,"{'cik': '0001091587', 'figiuid': 'EQ0082519700001004', 'scfigi': 'BBG001SCX147', 'cfigi': 'BBG000C82GK8', 'figi': 'BBG000C83RS5'}",https://api.polygon.io/v2/tickers/ABLZF,
ABM,"ABM Industries, Inc.",STOCKS,US,USD,True,NYE,2020-06-23,"{'cik': '0000771497', 'figiuid': 'EQ0010005600001000', 'scfigi': 'BBG001S5N9B8', 'cfigi': 'BBG000B9YYH7', 'figi': 'BBG000B9Z0B6'}",https://api.polygon.io/v2/tickers/ABM,
ABMAF,Albioma Ordinary Shares (France),STOCKS,US,USD,True,OTC,2020-10-06,,https://api.polygon.io/v2/tickers/ABMAF,
ABMBF,Abcourt Mines Inc Cl-B (F) Ordinary Shares,STOCKS,US,USD,True,OTC,2020-06-23,"{'figiuid': 'EQ0000000000366698', 'scfigi': 'BBG001SBDFM0', 'cfigi': 'BBG000KS7RZ0', 'figi': 'BBG000KS81B2'}",https://api.polygon.io/v2/tickers/ABMBF,
ABMC,American Bio Medica Corp. Common Stock,STOCKS,US,USD,True,OTC,2020-06-23,"{'cik': '0000896747', 'figiuid': 'EQ0010206300001000', 'scfigi': 'BBG001S6XX86', 'cfigi': 'BBG000CK8P25', 'figi': 'BBG000CK8WJ2'}",https://api.polygon.io/v2/tickers/ABMC,
ABMD,"ABIOMED, Inc. Common Stock",STOCKS,US,USD,True,NASDAQ,2020-06-23,"{'cik': '0000815094', 'figiuid': 'EQ0010182100001000', 'scfigi': 'BBG001S64SQ9', 'cfigi': 'BBG000C101X4', 'figi': 'BBG000C10C06'}",https://api.polygon.io/v2/tickers/ABMD,
ABML,American Battery Metals Corporation Common Stock,STOCKS,US,USD,True,OTC,2020-06-23,"{'figiuid': 'EQ0000000030275319', 'scfigi': 'BBG004M1KJP3', 'cfigi': 'BBG004M1KJN5', 'figi': 'BBG004M1KK98'}",https://api.polygon.io/v2/tickers/ABML,
ABMMF,Prodigy Gold NL,STOCKS,US,USD,False,GREY,2020-06-23,"{'figiuid': 'EQ0000000048198807', 'scfigi': 'BBG001SJD2R7', 'cfigi': 'BBG00C9XYG71', 'figi': 'BBG00C9XYGP1'}",https://api.polygon.io/v2/tickers/ABMMF,
ABMRF,ABN Amro BK NV Depositary Receipts (Netherlands),STOCKS,US,USD,True,OTC,2020-06-23,"{'figiuid': 'EQ0000000056077529', 'scfigi': 'BBG00BDTXC86', 'cfigi': 'BBG00GF805F2', 'figi': 'BBG00GF805V4'}",https://api.polygon.io/v2/tickers/ABMRF,
ABMT,"Advanced BioMedical Technologies, Inc. Common Stock",STOCKS,US,USD,True,OTC,2020-06-23,"{'cik': '0001385799', 'figiuid': 'EQ0000000003798934', 'scfigi': 'BBG001SV7S36', 'cfigi': 'BBG000RT11T1', 'figi': 'BBG000RT1950'}",https://api.polygon.io/v2/tickers/ABMT,
ABNAF,"Aben Resources, Ltd. Ordinary Shares",STOCKS,US,USD,True,OTC,2020-06-23,"{'figiuid': 'EQ0010823700001001', 'scfigi': 'BBG001S5XP49', 'cfigi': 'BBG000C0KBR9', 'figi': 'BBG000C0KK53'}",https://api.polygon.io/v2/tickers/ABNAF,
ABNC,"American Bancorp, Inc. (LA) Common Stock",STOCKS,US,USD,True,OTC,2020-06-23,"{'cik': '0000721238', 'figiuid': 'EQ0020247000001000', 'scfigi': 'BBG001S8FCK4', 'cfigi': 'BBG000BJ8MX2', 'figi': 'BBG000BJ8MX2'}",https://api.polygon.io/v2/tickers/ABNC,
ABNK,AltaPacific Bancorp.,STOCKS,US,USD,True,OTO,2020-06-23,"{'figiuid': 'EQ0000000002766309', 'scfigi': 'BBG001S62DL9', 'cfigi': 'BBG000BBJZY7', 'figi': 'BBG000BBJZY7'}",https://api.polygon.io/v2/tickers/ABNK,
ABNRY,ABN Amro Group N.V,STOCKS,US,USD,True,OTO,2020-06-23,"{'figiuid': 'EQ0000000055713997', 'scfigi': 'BBG00GB83SN4', 'cfigi': 'BBG00GB83RY4', 'figi': 'BBG00GB83RY4'}",https://api.polygon.io/v2/tickers/ABNRY,
ABOIF,Aboitiz Equity Ventures Inc Ordinary Shares (Philippines),STOCKS,US,USD,True,OTC,2020-06-23,"{'figiuid': 'EQ0000000001196998', 'scfigi': 'BBG001S67407', 'cfigi': 'BBG000PS9BJ6', 'figi': 'BBG002JPMYW5'}",https://api.polygon.io/v2/tickers/ABOIF,
ABPA,Allegiance Bank of North America (PA) Common Stock,STOCKS,US,USD,True,OTC,2020-06-23,"{'figiuid': 'EQ0755492800001000', 'scfigi': 'BBG001SJPGQ4', 'cfigi': 'BBG000KNS951', 'figi': 'BBG000KNS951'}",https://api.polygon.io/v2/tickers/ABPA,
ABPGF,ALIBABA PICTURES GROUP Ltd SHS (Bermuda),STOCKS,US,USD,True,OTC,2020-06-23,"{'figiuid': 'EQ0000000084523966', 'scfigi': 'BBG001S80GC0', 'cfigi': 'BBG00TN8KY15', 'figi': 'BBG00TN8KYJ6'}",https://api.polygon.io/v2/tickers/ABPGF,
ABPI,Accentia Biopharmaceuticals Inc,STOCKS,US,USD,False,OTO,2020-06-23,"{'cik': '0001310094', 'figiuid': 'EQ0000000001612025', 'scfigi': 'BBG001SCBMC6', 'cfigi': 'BBG000BV49C1', 'figi': 'BBG000BV4NC0'}",https://api.polygon.io/v2/tickers/ABPI,
ABPPF,Abacus Property Group Fully Paid Ord Units Stapled Securities (Australia),STOCKS,US,USD,True,OTC,2020-08-01,,https://api.polygon.io/v2/tickers/ABPPF,
ABPR,"Airborne Security & Protective Services, Inc. New Common Stock",STOCKS,US,USD,True,OTC,2020-06-23,"{'cik': '0001486965', 'figiuid': 'EQ0019470400001000', 'scfigi': 'BBG001SGXLB6', 'cfigi': 'BBG000N8LW93', 'figi': 'BBG000N8N750'}",https://api.polygon.io/v2/tickers/ABPR,
ABQQ,AB INTL GROUP CORP Common Stock,STOCKS,US,USD,True,OTC,2020-06-23,"{'cik': '0001605331', 'figiuid': 'EQ0000000038161871', 'scfigi': 'BBG007B0Z930', 'cfigi': 'BBG007B0Z921', 'figi': 'BBG007B0Z9J3'}",https://api.polygon.io/v2/tickers/ABQQ,
ABQQD,AB International Group Corp,STOCKS,US,USD,True,OTCQB,2020-06-23,"{'cik': '0001605331', 'figiuid': 'EQ0000000038161871', 'scfigi': 'BBG007B0Z930', 'cfigi': 'BBG007B0Z921', 'figi': 'BBG007B0Z921'}",https://api.polygon.io/v2/tickers/ABQQD,
ABR,"Arbor Realty Trust, Inc.",STOCKS,US,USD,True,NYE,2020-06-23,"{'cik': '0001253986', 'figiuid': 'EQ0000000000957856', 'scfigi': 'BBG001SJP3G4', 'cfigi': 'BBG000KMVDV1', 'figi': 'BBG000KMVGS8'}",https://api.polygon.io/v2/tickers/ABR,
ABR-A,"Arbor Realty Trust, Inc 8.250% Series A Cumulative Redeemable Preferred Stock",STOCKS,US,USD,True,NYE,2020-06-23,"{'cik': '0001253986', 'figiuid': 'PFEP0437764', 'figi': 'BBG0042YL6X1'}",https://api.polygon.io/v2/tickers/ABR-A,PFD
ABR-B,"Arbor Realty Trust, Inc. 7.75% Series B Preferred",STOCKS,US,USD,True,NYE,2020-06-23,"{'cik': '0001253986', 'figiuid': 'PFEP0443432', 'figi': 'BBG004JF53Q7'}",https://api.polygon.io/v2/tickers/ABR-B,PFD
ABR-C,"Arbor Realty Trust, Inc. 8.50% Series C Cumulative Redeemable Preferred Stock, Liquidation Preferenc",STOCKS,US,USD,True,NYE,2020-06-23,"{'cik': '0001253986', 'figiuid': 'PFEP0456665', 'figi': 'BBG00610P7D7'}",https://api.polygon.io/v2/tickers/ABR-C,PFD
ABRDF,Aberdeen New Thai Investment Trust,STOCKS,US,USD,True,GREY,2020-06-23,"{'figiuid': 'EQ0013600200060100', 'scfigi': 'BBG001S67X76', 'cfigi': 'BBG000BBNQ81', 'figi': 'BBG000BBNQ81'}",https://api.polygon.io/v2/tickers/ABRDF,
ABRN,Arbor Realty Trust Inc.,STOCKS,US,USD,True,NYE,2020-06-23,,https://api.polygon.io/v2/tickers/ABRN,
ABRTY,"Abertis Infraestructuras, S.A.",STOCKS,US,USD,True,OTO,2020-06-23,"{'figiuid': 'EQ0000000007517451', 'scfigi': 'BBG001T43K81', 'cfigi': 'BBG000DHYYD1', 'figi': 'BBG000DHYYD1'}",https://api.polygon.io/v2/tickers/ABRTY,
ABRUF,AMERICAN PAC BURATE & LITHIUM LTD Ord Shs Fully Paid (Australia),STOCKS,US,USD,True,OTC,2020-06-23,"{'figiuid': 'EQ0000000081718475', 'scfigi': 'BBG00GV1ZTC2', 'cfigi': 'BBG00RKN0916', 'figi': 'BBG00RKN09M3'}",https://api.polygon.io/v2/tickers/ABRUF,
ABSCF,"AB Science, Paris Ordinary Shares (France)",STOCKS,US,USD,True,OTC,2020-06-23,"{'figiuid': 'EQ0000000016464610', 'scfigi': 'BBG001T887L1', 'cfigi': 'BBG001CXBB77', 'figi': 'BBG001CXBBQ6'}",https://api.polygon.io/v2/tickers/ABSCF,
ABSOF,ABS-CBN  Holdings Corporation Phillipine Depositary Receipts Representing 1 Share (Phillipines),STOCKS,US,USD,True,OTC,2020-06-23,"{'figiuid': 'EQ0000000031771226', 'scfigi': 'BBG001S8WLC4', 'cfigi': 'BBG0059HB2X8', 'figi': 'BBG0059HB3D8'}",https://api.polygon.io/v2/tickers/ABSOF,
ABSR,American Business Services Inc. Com,STOCKS,US,USD,True,OTC,2020-06-23,"{'cik': '0001532882', 'figiuid': 'EQ0000000020654549', 'scfigi': 'BBG00276FBB1', 'cfigi': 'BBG00276F9H0', 'figi': 'BBG00276FB21'}",https://api.polygon.io/v2/tickers/ABSR,
A,Agilent Technologies Inc.,STOCKS,US,USD,True,NYE,2020-10-26,"{'cik': '0001090872', 'figiuid': 'EQ0087231700001000', 'scfigi': 'BBG001SCTQY4', 'cfigi': 'BBG000C2V3D6', 'figi': 'BBG000C2V3D6'}",https://api.polygon.io/v2/tickers/A,CS
AA,Alcoa Corporation,STOCKS,US,USD,True,NYE,2020-10-26,"{'cik': '0001675149', 'figiuid': 'EQ0000000045469815', 'scfigi': 'BBG00B3T3HF1', 'cfigi': 'BBG00B3T3HD3', 'figi': 'BBG00B3T3HD3'}",https://api.polygon.io/v2/tickers/AA,CS
AAA,AAF First Priority CLO Bond ETF,STOCKS,US,USD,True,ARCA,2020-09-10,,https://api.polygon.io/v2/tickers/AAA,
AAAG,AAA Century Group USA Inc,STOCKS,US,USD,True,GREY,2020-06-23,"{'cik': '0001451947', 'figiuid': 'EQ0000000017880153', 'scfigi': 'BBG001V28ND5', 'cfigi': 'BBG001R3MPR2', 'figi': 'BBG001R3MQ72'}",https://api.polygon.io/v2/tickers/AAAG,
AAAIF,Alternative Investment Trust Units (Austrailia),STOCKS,US,USD,True,OTC,2020-06-23,"{'figiuid': 'EQ0000000021131053', 'scfigi': 'BBG001SPVKJ2', 'cfigi': 'BBG0029J1X37', 'figi': 'BBG0029J1X37'}",https://api.polygon.io/v2/tickers/AAAIF,
AAALF,Aareal Bank AG AKT,STOCKS,US,USD,True,OTC,2020-06-23,"{'figiuid': 'EQ0000000000233556', 'scfigi': 'BBG001SG8HX9', 'cfigi': 'BBG000PL5HY5', 'figi': 'BBG000PL5HY5'}",https://api.polygon.io/v2/tickers/AAALF,
AAALY,Aareal Bank AG Unsponsored American Depository Receipt (Germany),STOCKS,US,USD,True,OTC,2020-06-23,"{'figiuid': 'EQ0000000020573680', 'scfigi': 'BBG002628F57', 'cfigi': 'BBG002628DF1', 'figi': 'BBG002628DX1'}",https://api.polygon.io/v2/tickers/AAALY,
AAAP,Wool Industry Tria Alfa S.A..,STOCKS,US,EUR,True,NGS,2020-06-23,"{'figiuid': 'EQ0016246000100000', 'scfigi': 'BBG001S7LXQ7', 'cfigi': 'BBG000C06GP6', 'figi': 'BBG000C06H01'}",https://api.polygon.io/v2/tickers/AAAP,PFD
AAARF,Aluar Aluminio Argentino Sa Alua Ordinary Shares 1 Vote (Argentina),STOCKS,US,USD,True,OTC,2020-06-23,"{'figiuid': 'EQ0000000008276662', 'scfigi': 'BBG001S8KMC5', 'cfigi': 'BBG000RV3PZ4', 'figi': 'BBG000RV3PZ4'}",https://api.polygon.io/v2/tickers/AAARF,
AAAU,Perth Mint Physical Gold ETF (Trust),STOCKS,US,USD,True,ARCA,2020-06-23,"{'cik': '0001708646', 'figiuid': 'EQ0000000067365924', 'scfigi': 'BBG00LPXX8Z1', 'cfigi': 'BBG00LPXX872', 'figi': 'BBG00LPXX8D5'}",https://api.polygon.io/v2/tickers/AAAU,
AABA,Altaba Inc,STOCKS,US,USD,True,NGS,2020-06-23,"{'cik': '0001011006', 'figiuid': 'EQ0018613000001000', 'scfigi': 'BBG001S8V781', 'cfigi': 'BBG000GFFQN9', 'figi': 'BBG000GFJ6R5'}",https://api.polygon.io/v2/tickers/AABA,
AABB,Asia Broadband Inc Common Stock,STOCKS,US,USD,True,OTC,2020-06-23,"{'cik': '0001287145', 'figiuid': 'EQ0141430200001000', 'scfigi': 'BBG001SGRBK5', 'cfigi': 'BBG000CWNRN5', 'figi': 'BBG000CWQ337'}",https://api.polygon.io/v2/tickers/AABB,
AABNF,Altin AG,STOCKS,US,USD,True,GREY,2020-06-23,"{'figiuid': 'EQ0000000000079852', 'scfigi': 'BBG001SK3BC1', 'cfigi': 'BBG000BTWFQ6', 'figi': 'BBG000BTWFQ6'}",https://api.polygon.io/v2/tickers/AABNF,
AABVF,Aberdeen International Inc Ordinary Shares,STOCKS,US,USD,True,OTC,2020-06-23,"{'figiuid': 'EQ0011010800001003', 'scfigi': 'BBG001S6XZ90', 'cfigi': 'BBG000BXKHJ4', 'figi': 'BBG000BXKQW9'}",https://api.polygon.io/v2/tickers/AABVF,
AAC,AAC Microtec AB,STOCKS,US,SEK,True,NYE,2020-06-23,"{'figiuid': 'EQ0000000037820666', 'scfigi': 'BBG0077N8Z46', 'cfigi': 'BBG0077N8YF7', 'figi': 'BBG00FB2RV10'}",https://api.polygon.io/v2/tickers/AAC,
AACAF,AAC Technologies Holdings Inc Ordinary Shares (Cayman Islands),STOCKS,US,USD,True,OTC,2020-06-23,"{'figiuid': 'EQ0000000002305614', 'scfigi': 'BBG001SKMWN2', 'cfigi': 'BBG000C3S2Q6', 'figi': 'BBG000C3S8L8'}",https://api.polygon.io/v2/tickers/AACAF,
AACAY,AAC Technologies Holdings Inc Unsponsored ADR (Cayman Islands),STOCKS,US,USD,True,OTC,2020-06-23,"{'figiuid': 'EQ0000000007139171', 'scfigi': 'BBG001T3PT80', 'cfigi': 'BBG000VNTB62', 'figi': 'BBG000VNTFR0'}",https://api.polygon.io/v2/tickers/AACAY,
AACEY,Asia Cement China Holdings Corp,STOCKS,US,USD,True,OTO,2020-06-23,"{'figiuid': 'EQ0000000007561310', 'scfigi': 'BBG001T45225', 'cfigi': 'BBG000L05F33', 'figi': 'BBG000L05F33'}",https://api.polygon.io/v2/tickers/AACEY,
AACG,ATA Creativity Global American Depositary Shares,STOCKS,US,USD,True,NASDAQ,2020-06-23,"{'figiuid': 'EQ0000000005347946', 'scfigi': 'BBG001T125S9', 'cfigi': 'BBG000V2S3P6', 'figi': 'BBG000V2S9C7'}",https://api.polygon.io/v2/tickers/AACG,
AACH,AAC HLDGS INC Common Stock,STOCKS,US,USD,True,OTC,2020-06-23,"{'figiuid': 'EQ0000000036400807', 'scfigi': 'BBG006T1NZ27', 'cfigi': 'BBG006T1NZ18', 'figi': 'BBG006T1NZK7'}",https://api.polygon.io/v2/tickers/AACH,
AACMF,Asia Cement,STOCKS,US,TWD,True,GREY,2020-06-23,{'cik': '0000899136'},https://api.polygon.io/v2/tickers/AACMF,
AACQ,Artius Acquisition Inc. Class A Common Stock,STOCKS,US,USD,True,NASDAQ,2020-09-05,,https://api.polygon.io/v2/tickers/AACQ,
AACQU,Artius Acquisition Inc. Unit,STOCKS,US,USD,True,NASDAQ,2020-07-15,,https://api.polygon.io/v2/tickers/AACQU,
AACQW,Artius Acquisition Inc Warrant,STOCKS,US,USD,True,NASDAQ,2020-09-05,,https://api.polygon.io/v2/tickers/AACQW,
AACS,"American Commerce Solutions, Inc. Common Stock",STOCKS,US,USD,True,OTC,2020-06-23,"{'cik': '0000949982', 'figiuid': 'EQ0017977000001000', 'scfigi': 'BBG001SBV1Z7', 'cfigi': 'BBG000JVQ2Q9', 'figi': 'BBG000JVQGV2'}",https://api.polygon.io/v2/tickers/AACS,
AACTF,AURORA SOLAR TECHNOLOGIES INC  Common Shares,STOCKS,US,USD,True,OTC,2020-06-23,"{'figiuid': 'EQ0000000031867758', 'scfigi': 'BBG001STZM33', 'cfigi': 'BBG005BTJ9X6', 'figi': 'BBG005BTJBD3'}",https://api.polygon.io/v2/tickers/AACTF,
AADR,AdvisorShares Dorsey Wright ADR ETF,STOCKS,US,USD,True,ARCA,2020-06-23,"{'figiuid': 'EQ0000000010636243', 'scfigi': 'BBG001T9B1Y4', 'cfigi': 'BBG000BDYRW6', 'figi': 'BBG000BDYVZ4'}",https://api.polygon.io/v2/tickers/AADR,
AAEEF,Altair Res Inc Common Shares,STOCKS,US,USD,True,OTC,2020-06-23,"{'figiuid': 'EQ0000000021744067', 'scfigi': 'BBG001SPCXW0', 'cfigi': 'BBG002DMMHW5', 'figi': 'BBG002DMMJC3'}",https://api.polygon.io/v2/tickers/AAEEF,
AAFGF,Anglo African Oil & Gas Plc,STOCKS,US,USD,True,OTC,2020-06-23,"{'figiuid': 'EQ0000000069767824', 'scfigi': 'BBG00G50MZK4', 'cfigi': 'BBG00MJW6WS3', 'figi': 'BBG00MJW6X74'}",https://api.polygon.io/v2/tickers/AAFGF,
AAFRF,Airtel Africa Plc Ordinary Shares (United Kingdom),STOCKS,US,USD,True,OTC,2020-09-05,,https://api.polygon.io/v2/tickers/AAFRF,
AAGC,All American Gold Corp. Common Stock,STOCKS,US,USD,True,OTC,2020-06-23,"{'cik': '0001409430', 'figiuid': 'EQ0000000010542876', 'scfigi': 'BBG001T948W9', 'cfigi': 'BBG000R4MM71', 'figi': 'BBG000R4MXH6'}",https://api.polygon.io/v2/tickers/AAGC,
AAGEF,AAG Energy Holdings Ltd Ordinary Shares (Cayman Islands),STOCKS,US,USD,True,OTC,2020-06-23,"{'figiuid': 'EQ0000000051598860', 'scfigi': 'BBG009CXGZ54', 'cfigi': 'BBG00DRM6D17', 'figi': 'BBG00DRM6DH0'}",https://api.polygon.io/v2/tickers/AAGEF,
AAGFF,Aftermath Silver Ltd Ordinary Shares,STOCKS,US,USD,True,OTC,2020-06-23,"{'figiuid': 'EQ0000000019703715', 'scfigi': 'BBG001V0ZJL9', 'cfigi': 'BBG001ZZWS68', 'figi': 'BBG001ZZWSP7'}",https://api.polygon.io/v2/tickers/AAGFF,
AAGGY,AIA ENGR LTD  American Depositary Receipts - Unsponsored,STOCKS,US,USD,True,GREY,2020-03-30,,https://api.polygon.io/v2/tickers/AAGGY,
AAGH,America Great Health Common Stock,STOCKS,US,USD,True,OTC,2020-06-23,"{'cik': '0001098009', 'figiuid': 'EQ0000000025226539', 'scfigi': 'BBG003443JG8', 'cfigi': 'BBG003443HQ1', 'figi': 'BBG003443J69'}",https://api.polygon.io/v2/tickers/AAGH,
AAGIY,"AIA Group, Ltd. Sponsored American Depository Receipt (Hong Kong)",STOCKS,US,USD,True,OTC,2020-06-23,"{'cik': '0001511634', 'figiuid': 'EQ0000000017880229', 'scfigi': 'BBG001V28NN4', 'cfigi': 'BBG001R3QP52', 'figi': 'BBG001R3QPN2'}",https://api.polygon.io/v2/tickers/AAGIY,
AAGRY,Astra Agro Lestari TBK PT Unsponsored ADR (Indonesia),STOCKS,US,USD,True,OTC,2020-06-23,"{'figiuid': 'EQ0000000010197651', 'scfigi': 'BBG001T8KP46', 'cfigi': 'BBG000KF9H79', 'figi': 'BBG000KF9TW5'}",https://api.polygon.io/v2/tickers/AAGRY,
AAHIF,Asahi Co Ltd Osaka Ordinary Shares (Japan),STOCKS,US,USD,True,OTC,2020-06-23,"{'figiuid': 'EQ0000000001345721', 'scfigi': 'BBG001SM5XQ2', 'cfigi': 'BBG000Q9RDV9', 'figi': 'BBG002JRGQZ2'}",https://api.polygon.io/v2/tickers/AAHIF,
AAIGF,"AIA Group, Ltd. Ordinary Shares (Hong Kong)",STOCKS,US,USD,True,OTC,2020-06-23,"{'cik': '0001511634', 'figiuid': 'EQ0000000013430369', 'scfigi': 'BBG001T6WWK4', 'cfigi': 'BBG001BDZ212', 'figi': 'BBG001BDZ2K1'}",https://api.polygon.io/v2/tickers/AAIGF,
AAIIQ,"Alabama Aircraft Industries, Inc. Common Stock",STOCKS,US,USD,True,OTC,2020-06-23,"{'cik': '0000771729', 'figiuid': 'EQ0010602500001000', 'scfigi': 'BBG001SD4Q88', 'cfigi': 'BBG000HPGHW5', 'figi': 'BBG000HPGVL6'}",https://api.polygon.io/v2/tickers/AAIIQ,
